relationship_id,person_id,company_id,company_name,is_active,start_date,title_at_company,data_source
7ddbfd96-7011-491c-887c-249d02d94853,00eeb3dd-0d51-410a-a622-4c8b667e3727,978312000000470654,Archpolis design,,,,MetaliaBigin
6b835c98-de94-45e8-8076-e3ae835d4813,02429197-0b8f-429d-a123-218f068e7225,e5ce1e42-37ad-4bc4-8984-eaf128cff05f,Zoho Middle East & North Africa,True,2025-09-05T00:00:00.000Z,,Rolodex
51afe00c-7334-44f6-9658-e385d32985ec,036ed910-27e2-4b71-b544-ad0e8b71d0bc,978312000000477717,the iyal atelier,,,,MetaliaBigin
f15b4290-6034-4e4a-a83b-feba28df6ea9,03bc5bcf-abda-4ccb-a67c-867665f28559,0b4cf34f-a348-4365-9926-8005e9585f87,Zohoanalytics,True,2025-09-18T00:00:00.000Z,,Rolodex
77c057c7-59e3-44a1-9d19-acc614197058,04a46d94-86ea-4f92-ad2d-bc02ee65988e,978312000000439701,Space Matters,,,,MetaliaBigin
b2e0bed2-87d6-4c5f-8310-31f932f6b246,04b43913-1519-4ebc-a6fa-c06d9c7a0ff8,f574dbc2-d2ed-4e57-af26-759a8e856787,Futurebiztech,True,2025-08-11T00:00:00.000Z,,Rolodex
83531fc4-00ff-4135-9f08-e736175456be,04bbd952-15b7-43be-ae62-638995ef11a2,978312000000447251,Wadhwa Group,,,,MetaliaBigin
445e4314-33be-4462-b0ee-fcd269291d83,05954743-073b-4a81-b59b-37a750e76a1e,e5ce1e42-37ad-4bc4-8984-eaf128cff05f,Zoho Middle East & North Africa,True,2025-09-05T00:00:00.000Z,,Rolodex
47d9a84c-e016-4f1d-8fa9-d217f3f4e120,05f462a2-f821-4c72-b9e9-40e0426bf824,9da3baa1-8972-4c5c-8873-37fe4709292d,Zohovault,True,2025-09-18T00:00:00.000Z,,Rolodex
f732e108-68ba-4188-9f7d-a4b49db552dd,06849271-0a6f-4fcd-9386-6d6c9ff519a9,1005878000000436540,Rodium Realty Ltd.,,,,ColourcoatsBigin
6a649564-5aa2-46d2-8910-22315626d5d9,07d12bc9-83ab-42fa-80f9-3d2e8fd36c75,1005878000000436499,MorphLab,,,,ColourcoatsBigin
9128cf1e-3027-49eb-90e5-94151b2b2a05,08c4c00b-54a3-4972-9a1c-c2188b819e6c,978312000000422302,Visarg,,,,MetaliaBigin
02388a57-b0ac-4bd0-92ae-e33bbd9ee9d3,0a416b5c-3d9a-4b0c-a99a-cc88b581db27,978312000000439680,Hitesh Katiyar Architecture and Design Studio,,,,MetaliaBigin
823164bd-ed4e-4fdb-a337-088716b9df2c,0a48429f-dacf-4038-83c5-5de5d41f740f,e5ce1e42-37ad-4bc4-8984-eaf128cff05f,Zoho Middle East & North Africa,True,2025-09-18T00:00:00.000Z,,Rolodex
744804b6-dd5d-4b07-a325-e3a54962393b,0ae59392-128a-433f-9529-35642349e591,2508de31-c999-457e-98c3-cf51660c263b,Trustly Technology Solutions Pvt. Ltd.,True,2025-06-26T00:00:00.000Z,,Rolodex
f437e27c-7bd2-4286-9905-d9b81c8c0b6f,0b2739af-f4f1-41a2-9afa-e506b92109f1,978312000000422308,Morpho,,,,MetaliaBigin
57734779-209e-496b-8b40-a45dbab5091a,0b813eb6-861e-4b69-be8c-bc2cad95e959,0b4cf34f-a348-4365-9926-8005e9585f87,Zohoanalytics,True,2025-09-18T00:00:00.000Z,,Rolodex
92fa69a7-41d3-4f2a-a5b9-6a94a6dc19d9,0bdd1196-4a5a-4a19-96cb-fc740e9851c9,978312000000439672,Design Architto,,,,MetaliaBigin
667233d4-9e1c-437b-b50f-80f81f9d8226,0bfd71be-62c8-4023-81cb-996f022afd7e,1005878000000436410,DesignHex,,,,ColourcoatsBigin
37bd8b62-94e2-485e-b9e3-ce3db165c6cb,0c8707ab-285b-4798-9f53-bf2306a3e51c,1005878000000436479,Kiran Gala & Associates,,,,ColourcoatsBigin
98c7724c-a2c2-48fb-b358-abc2ea2f8bae,0c891fe8-5dc0-4d01-b0f0-4feb78822aaf,045f4eca-c464-44d5-ada1-29c2a771d81e,Metalia India,True,2025-07-21T00:00:00.000Z,,Rolodex
2c67f2f0-ce65-4784-879f-0a9c6d86c4e2,0c9d6e55-11ba-43c5-97a6-72628fb3d7b4,978312000000439673,Design Ethics,,,,MetaliaBigin
039b77b0-4c05-4bc5-ac2c-bbebf98302ea,0da1ee30-875d-4944-821e-03098f6864db,1005878000000436356,Aakruti Architects - Ahmedabad,,,,ColourcoatsBigin
0e4d2cd7-73ef-4d2e-ad7a-d1f48201ab02,0dd37abd-75c2-46bc-bc93-de27c2122af3,978312000000439689,Mold,,,,MetaliaBigin
4052ed3b-112e-44d9-a4de-7c6492b248e1,0e4a5a10-f9f1-45ed-978b-aad692e3476f,9eb17dd6-73ce-4110-93a4-5b1367dfb624,Pluro,True,2025-09-16T00:00:00.000Z,,Rolodex
043a8bff-337d-48e4-aacf-9fda24761951,0edab75b-96d6-40ee-b2df-698e47c0b688,174a421c-b03a-49c2-914d-8c4568652e29,Fireflies,True,2025-09-18T00:00:00.000Z,,Rolodex
b9aabc3a-b8f6-430d-b8fe-b11d601dc868,10e28cba-68b1-45b5-9d55-d55ff16894b2,978312000000439712,The Design Cube,,,,MetaliaBigin
43bbeb57-8840-4877-b87e-8b875658aabb,11304b5a-d6af-4cfc-b2a5-36cc8c54e6c1,02ecd1fe-9249-4761-ad36-be98ee5b1bc4,Searce Inc,True,2025-09-18T00:00:00.000Z,,Rolodex
4424f1cb-a554-41d8-ba83-9ff5cb625c2e,1153934b-5d9a-4251-9340-86bb629acc3c,1005878000000436403,D Design Space - Dinesh Jangid,,,,ColourcoatsBigin
6cea3a5b-3387-45c6-ab7c-83726fbe10c0,12fc253a-7013-4fe9-b22f-e244fa78ae5e,978312000000439658,1970,,,,MetaliaBigin
a4cf7e97-fafd-4af7-adfc-a06fb3ae29ce,145ae5c8-f320-4953-8d72-c501dff4a0af,7b0aa6ff-759d-4457-abfe-92264e1dc0a0,Makemytrip,True,2025-09-18T00:00:00.000Z,,Rolodex
87fc3e0a-118d-4716-9a6a-4b2bed1bfd7f,14bdc6b7-6ed5-4d2e-ac7f-916df9d840cb,978312000000422283,Design Doodle,,,,MetaliaBigin
c3aecb4b-656a-49b7-8b3a-8a1b342a6fcb,167d24a9-d69b-475f-a88e-fbd206e03e5e,0b4cf34f-a348-4365-9926-8005e9585f87,Zohoanalytics,True,2025-09-18T00:00:00.000Z,,Rolodex
3ecebae6-9ef3-4608-b5f9-3fd7910f9db3,167faf97-e03b-4557-9413-0f2e21047c4c,978312000000439711,Tech Arch,,,,MetaliaBigin
036e3a25-4eff-4634-bda7-31c33d42554f,173635d5-c3e5-4ad5-b48d-fecc43738166,978312000000512184,Deepak Goyal.ref Ansa Sept 2025,,,,MetaliaBigin
1554369b-c550-4b11-95e6-07bac3dd422e,17528503-1789-47d4-a09b-13abd704362b,83e0ef8e-d353-42b7-a0ef-ee9136478b77,Avendus,True,2025-09-08T00:00:00.000Z,,Rolodex
